债券募集说明书名称,公告发布日,半透明小字
招商蛇口：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-12,招商蛇口 2018年面向合格投资者公开发行公司债券（第一期）募集说明书 声 明 本募集说明书及其摘要的全部内容依据《公司法》、《证券法》、《公司债 券发行与交易管理办法》、《公开发行证券的公司信息披露
西山煤电：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-08-18,山西西山煤电股份有限公司 （住所：山西省太原市西矿街 318 号） 2017 年面向合格投资者公开发行公司债券 募（第一期）集说明书 牵头主承销商 （住所：上海市广东路 689 号） 联席主承销商 （
18东林01：北京东方园林环境股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-09,1-1-2 声 明 本募集说明书及其摘要的全部内容依据《中华人民共和国公司法》、《中华人 民共和国证券法》、《公司债券发行与交易管理办法》、《公开发行证券的公司信息 披露内容与格式准则第 23 号——
晨鸣纸业：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-08-15,    山东晨鸣纸业集团股份有限公司 （住所：山东省寿光市圣城街 595号） 2017年面向合格投资者 公开发行公司债券（第一期） 募集说明书 牵头主承销商、簿记管理人、债券受托管理人 住所：广东省广
18GLPR2：普洛斯洛华中国海外控股（香港）有限公司2018年面向合格投资者公开发行“一带一路”公司债券（第二期）募集说明书,2018-04-02,
国信证券：2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-07-07,国信证券股份有限公司 （住所：深圳市罗湖区红岭中路 1012号国信证券大厦十六层至二十六层） 2017 年面向合格投资者公开发行公司债券 （第二期） 募集说明书 主承销商、簿记管理人、债券受托管理人 
欣旺达：2017年面向合格投资者公开发行公司债券（第三期）募集说明书,2017-08-11,股票简称:欣旺达 股票代码:300207 欣旺达电子股份有限公司 （深圳市宝安区石岩街道石龙社区颐和路 2 号综合楼 1 楼、2 楼 A-B 区、2 楼 D 区-9 楼） 2017年面向合格投资者公开
欣旺达：2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-08-11,欣旺达电子股份有限公司 2017年面向合格投资者公开发行公司债券（第二期）募集说明书 2 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《
18中材Y1：中材科技股份有限公司2018年面向合格投资者公开发行可续期公司债券（第一期）募集说明书,2018-03-28,中材科技股份有限公司 2018年面向合格投资者公开发行可续期公司债券（第一期）募集说明书 中材科技股份有限公司 （住所：江苏省南京市江宁科学园彤天路 99号） 2018年面向合格投资者 公开发行可续期
17广业01：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-08-04,广东省广业集团有限公司 （住所：广东省广州市天河区金穗路 1号 32楼） 2017 年面向合格投资者 公开发行公司债券(第一期) 募集说明书 主承销商/债券受托管理人 （住所：中国（上海）自由贸易试验
17招路01：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-07-31,ǌùřͼ̅˹ˊƿǡ̓̓MȚχâ 2017źϘèäȼǁͲ̍ƈÔ̷âs¬�˚�Ȟ�¹ϐ͝ȉ( 1 y ¾ ȡ¹ϐ͝ȉ(Ñǧ̿ʪΨŉhǜ�âɣ���͒¬ɣ���âs¬Ô ̷�6Ȋˢʖ¯ɣ�
18科伦01：四川科伦药业股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-21,四川科伦药业股份有限公司 2018 年面向合格投资者公开发行公司债券（第一期） 募集说明书 发行人声明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国证 券法》、《公司债券发行与交
18农四01：伊犁农四师国有资产投资有限责任公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-19,伊犁农四师国有资产投资有限责任公司 （住所：新疆维吾尔自治区伊宁市公园街四巷十三号） 2018 年面向合格投资者公开发行 公司债券（第一期）募集说明书 主承销商/簿记管理人 兴业证券股份有限公司 （福
17招路02：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-07-31,ǌùřͼ̅˹ˊƿǡ̓̓MȚχâ 2017źϘèäȼǁͲ̍ƈÔ̷âs¬�˚�Ȟ�¹ϐ͝ȉ( 1 y ¾ ȡ¹ϐ͝ȉ(Ñǧ̿ʪΨŉhǜ�âɣ���͒¬ɣ���âs¬Ô ̷�6Ȋˢʖ¯ɣ�
国联水产：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-07-27,湛江国联水产开发股份有限公司面向合格投资者公开发行公司债券募集说明书 湛江国联水产开发股份有限公司 （住所：湛江开发区平乐工业区永平南路） 2017 年面向合格投资者公开发行公司债券（第一期） 募集说
万  科Ａ：2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-08-01,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33 号万科中心 2017年面向合格投资者公开发行公司债券 （第二期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广场（二期）北座
18星期01：星期六股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-21,星期六股份有限公司 2018 年面向合格投资者公开发行公司债券（第一期）募集说明书 1 声 明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国证 券法》、《公司债券发行与交易管理办
18合和01：云南合和（集团）股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-20,1 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式准 则第 23 号——公开发行公司债券募集说明书（
18恒逸01：恒逸石化股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-16,恒逸石化股份有限公司公开发行公司债券募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式
18创投S1：深圳市创新投资集团有限公司2018年面向合格投资者公开发行创新创业公司债券（第一期）募集说明书,2018-03-15,"深圳市创新投资集团有限公司 Shenzhen Capital Group Co.,Ltd. （住所：深圳市福田区深南大道 4009号投资大厦 11层 B区） 2018年面向合格投资者公开发行创新创业 "
美晨科技：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-07-28,股票简称：美晨科技 股票代码：300237 山东美晨科技股份有限公司 （住址：山东省潍坊市诸城市密州街道北十里四村 600号） 2017 年面向合格投资者公开发行公司债券（第一期） 募集说明书 主承销
18朗姿01：朗姿股份有限公司2018年公开发行公司债券（第一期）募集说明书,2018-03-13,朗姿股份有限公司 2018年面向合格投资者公开发行公司债券（第一期）募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、《公司债券 发行与交易管理办法》、《公开
冀中能源：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-07-24,冀中能源股份有限公司公司债券募集说明书 1 股票简称：冀中能源股票代码：000937 冀中能源股份有限公司 （住所：河北省邢台市中兴西大街 191 号） 2017年面向合格投资者公开发行公司债券 （第
18新泰01：新疆中泰（集团）有限责任公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-08,新疆中泰（集团）有限责任公司 （住所：新疆乌鲁木齐经济技术开发区维泰南路1号1503室） 2018 年面向合格投资者公开发行 公司债券（第一期） 募集说明书 主承销商 （住所：北京市朝阳区安立路 66
科伦药业：2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-07-17,"股票简称：科伦药业 股票代码：002422 四川科伦药业股份有限公司 Sichuan Kelun Pharmaceutical Co., Ltd （住所：成都市新都卫星城工业开发区南二路） 2017 "
